match_id,r1,r2,r3,r4,r5,d1,d2,d3,d4,d5,duration,rank,r_win
5743396409,129,26,12,104,6,93,56,39,98,101,1382,44,1
5743397007,84,69,6,34,42,104,109,56,71,53,1424,28,1
5743398611,68,67,60,57,106,70,26,84,41,17,1276,55,0
5743399508,27,19,49,18,17,104,128,113,107,54,1332,52,1
5743400801,100,36,35,113,71,97,37,74,114,129,1036,29,1
5743385006,62,53,78,35,73,105,113,51,54,9,1986,60,0
5743385209,105,16,44,85,76,29,35,84,26,95,2006,50,1
5743385210,73,81,91,14,59,52,90,28,1,80,1985,33,1
5743386104,20,69,22,6,128,8,21,47,120,5,1876,55,1
5743386118,107,1,69,86,47,31,22,8,7,129,1952,60,1
5743386411,60,10,86,23,14,57,101,34,104,73,1872,63,1
5743387314,11,102,26,14,18,42,25,3,48,28,1926,25,0
5743388010,107,20,47,42,17,41,32,128,129,19,1757,69,1
5743388317,55,18,21,30,41,107,36,84,47,93,1834,41,1
5743389415,17,121,94,29,50,8,14,53,87,63,1809,36,1
5743390218,51,43,8,56,26,57,68,44,85,75,1845,40,1
5743390407,11,8,86,87,2,107,14,63,114,104,1800,56,1
5743392208,67,64,83,106,104,12,10,57,30,21,1591,53,0
5743393401,93,68,126,87,99,120,54,84,100,53,1617,63,1
5743398408,101,85,82,10,81,42,111,102,52,87,1216,61,1
5743402619,29,26,19,30,114,85,69,76,44,84,1275,38,1
5743385817,30,126,9,81,16,27,44,84,1,93,2024,23,1
5743386712,25,120,44,85,26,91,31,34,129,8,1954,19,0
5743386900,44,11,84,99,45,7,17,6,14,121,1857,53,0
5743387315,17,55,93,97,14,77,50,54,41,74,1942,34,1
5743388104,44,99,14,71,11,93,22,25,41,87,1927,34,1
5743388408,1,26,126,85,64,6,84,4,41,128,1878,32,0
5743389512,67,25,31,34,41,97,15,75,126,95,1906,15,1
5743389707,67,60,53,114,25,36,45,41,30,43,1870,64,1
5743392810,5,128,6,44,49,23,56,26,1,101,1657,26,1
5743394502,74,44,10,51,79,104,18,49,90,119,1636,32,1
5743395007,120,114,91,93,107,41,104,94,86,121,1576,50,1
5743395010,44,22,6,19,3,112,58,97,129,70,1654,44,1
5743395715,50,8,101,129,63,104,74,109,83,108,1635,50,1
5743395917,23,21,105,39,71,11,53,35,56,99,1575,24,0
5743397307,14,11,105,104,68,56,30,44,114,35,1588,13,0
5743397710,39,71,53,69,81,102,56,29,114,22,1550,57,0
5743398411,111,50,95,108,93,81,43,26,2,59,1474,53,0
5743400802,21,25,6,4,59,102,9,41,56,28,1397,45,1
5743404001,113,129,38,128,57,69,44,19,43,85,1012,68,1
5743387502,93,51,20,129,61,65,111,67,41,25,1846,47,0
5743387713,37,75,93,42,110,40,64,41,29,23,2018,34,1
5743387911,62,45,97,60,44,73,100,86,18,98,2006,22,0
5743388503,40,7,26,30,25,87,35,1,31,95,1947,27,0
5743389503,101,9,41,95,99,77,75,1,107,11,1952,31,1
5743390608,8,14,76,88,2,84,25,70,129,56,1903,41,0
5743390610,85,32,114,64,20,23,89,9,50,83,1973,30,0
5743392713,13,44,126,61,58,51,80,129,10,57,1800,61,1
5743392714,41,104,77,27,6,21,44,53,7,37,1793,22,0
5743393409,41,107,30,31,17,94,82,21,19,99,1779,29,1
5743393800,14,105,36,60,114,71,87,8,100,46,1737,44,1
5743395417,99,41,86,11,85,5,16,44,128,46,1648,44,0
5743395818,51,18,4,87,35,31,73,110,129,48,1669,33,1
5743396317,40,2,75,94,14,71,17,93,26,110,1535,67,0
5743396800,42,99,128,83,48,30,26,67,2,95,1558,42,0
5743401410,28,93,56,84,6,67,64,99,25,68,1422,36,1
5743402013,6,22,17,71,26,84,2,14,46,44,1380,43,1
5743406511,105,26,53,89,15,63,40,81,7,2,1219,46,0
